"mesec","kolicina_podatkov","model","vrsta_napake","napaka"
"februar","vsi","linearna_regresija","mae",79.9627519 
"februar","vsi","linearna_regresija","mse",122.6498760   
"februar","vsi","linearna_regresija","rmae",0.4148628   
"februar","vsi","linearna_regresija","rmse",0.1367217
"februar","izbrani","linearna_regresija","mae",96.4151449 
"februar","izbrani","linearna_regresija","mse",167.0090372   
"februar","izbrani","linearna_regresija","rmae",0.5002211   
"februar","izbrani","linearna_regresija","rmse",0.2535031
"februar","vsi","regresijsko_drevo","mae",68.2758759  
"februar","vsi","regresijsko_drevo","rmae",0.3542289
"februar","izbrani","regresijsko_drevo","mae",71.0282052  
"februar","izbrani","regresijsko_drevo","rmae",0.3685086
"februar","vsi","nakljucni_gozd","mae",17.00314471  
"februar","vsi","nakljucni_gozd","rmae",0.08821572
"februar","izbrani","nakljucni_gozd","mae",41.1876275  
"februar","izbrani","nakljucni_gozd","rmae",0.2136897
"marec","vsi","linearna_regresija","mae",82.4450042 
"marec","vsi","linearna_regresija","mse",126.1052447   
"marec","vsi","linearna_regresija","rmae",0.4442131   
"marec","vsi","linearna_regresija","rmse",0.1766641
"marec","izbrani","linearna_regresija","mae",97.7306956 
"marec","izbrani","linearna_regresija","mse",167.4225282   
"marec","izbrani","linearna_regresija","rmae",0.5265724   
"marec","izbrani","linearna_regresija","rmse",0.3113937
"marec","vsi","regresijsko_drevo","mae",66.6686696  
"marec","vsi","regresijsko_drevo","rmae",0.3592104
"marec","izbrani","regresijsko_drevo","mae",78.3067704  
"marec","izbrani","regresijsko_drevo","rmae",0.4219164
"marec","vsi","nakljucni_gozd","mae",17.55941017  
"marec","vsi","nakljucni_gozd","rmae",0.09460999
"marec","izbrani","nakljucni_gozd","mae",45.0578625  
"marec","izbrani","nakljucni_gozd","rmae",0.2427715
"april","vsi","linearna_regresija","mae",82.9053829 
"april","vsi","linearna_regresija","mse",124.7678299   
"april","vsi","linearna_regresija","rmae",0.4779098   
"april","vsi","linearna_regresija","rmse",0.2159022
"april","izbrani","linearna_regresija","mae",92.3983754 
"april","izbrani","linearna_regresija","mse",160.5052749   
"april","izbrani","linearna_regresija","rmae",0.5326324   
"april","izbrani","linearna_regresija","rmse",0.3572979
"april","vsi","regresijsko_drevo","mae",66.9091930  
"april","vsi","regresijsko_drevo","rmae",0.3856995
"april","izbrani","regresijsko_drevo","mae",77.305992  
"april","izbrani","regresijsko_drevo","rmae",0.445632
"april","vsi","nakljucni_gozd","mae",16.9790681  
"april","vsi","nakljucni_gozd","rmae",0.0978762
"april","izbrani","nakljucni_gozd","mae",43.7335211  
"april","izbrani","nakljucni_gozd","rmae",0.2521028
"maj","vsi","linearna_regresija","mae",86.4737459 
"maj","vsi","linearna_regresija","mse",133.9057983   
"maj","vsi","linearna_regresija","rmae",0.4874221   
"maj","vsi","linearna_regresija","rmse",0.1987041
"maj","izbrani","linearna_regresija","mae",106.0338899 
"maj","izbrani","linearna_regresija","mse",173.0959811   
"maj","izbrani","linearna_regresija","rmae",0.5976757   
"maj","izbrani","linearna_regresija","rmse",0.3320337
"maj","vsi","regresijsko_drevo","mae",70.4529270  
"maj","vsi","regresijsko_drevo","rmae",0.3971183
"maj","izbrani","regresijsko_drevo","mae",75.1814437  
"maj","izbrani","regresijsko_drevo","rmae",0.4237713
"maj","vsi","nakljucni_gozd","mae",21.4223347  
"maj","vsi","nakljucni_gozd","rmae",0.1207502
"maj","izbrani","nakljucni_gozd","mae",53.3312412  
"maj","izbrani","nakljucni_gozd","rmae",0.3006094
"junij","vsi","linearna_regresija","mae",82.7914823 
"junij","vsi","linearna_regresija","mse",134.9673259   
"junij","vsi","linearna_regresija","rmae",0.4606976   
"junij","vsi","linearna_regresija","rmse",0.1668070
"junij","izbrani","linearna_regresija","mae",112.8407550 
"junij","izbrani","linearna_regresija","mse",182.1414922   
"junij","izbrani","linearna_regresija","rmae",0.6279084   
"junij","izbrani","linearna_regresija","rmse",0.3037909
"junij","vsi","regresijsko_drevo","mae",80.1659780  
"junij","vsi","regresijsko_drevo","rmae",0.4460879
"junij","izbrani","regresijsko_drevo","mae",85.8227707  
"junij","izbrani","regresijsko_drevo","rmae",0.4775654
"junij","vsi","nakljucni_gozd","mae",23.832460  
"junij","vsi","nakljucni_gozd","rmae",0.132617
"junij","izbrani","nakljucni_gozd","mae",52.0989186   
"junij","izbrani","nakljucni_gozd","rmae",0.2899072
"julij","vsi","linearna_regresija","mae",88.7099582
"julij","vsi","linearna_regresija","mse",149.6830601   
"julij","vsi","linearna_regresija","rmae",0.4821947   
"julij","vsi","linearna_regresija","rmse",0.1865735
"julij","izbrani","linearna_regresija","mae",104.3034575 
"julij","izbrani","linearna_regresija","mse",190.2266054   
"julij","izbrani","linearna_regresija","rmae",0.5669552   
"julij","izbrani","linearna_regresija","rmse",0.3013333
"julij","vsi","regresijsko_drevo","mae",83.8910040  
"julij","vsi","regresijsko_drevo","rmae",0.4560006
"julij","izbrani","regresijsko_drevo","mae",88.1008064   
"julij","izbrani","regresijsko_drevo","rmae",0.4788836
"julij","vsi","nakljucni_gozd","mae",22.4885011  
"julij","vsi","nakljucni_gozd","rmae",0.1222392
"julij","izbrani","nakljucni_gozd","mae",49.4556838  
"julij","izbrani","nakljucni_gozd","rmae",0.2688229
"avgust","vsi","linearna_regresija","mae",91.3863089 
"avgust","vsi","linearna_regresija","mse",158.4362659     
"avgust","vsi","linearna_regresija","rmae",0.4730224     
"avgust","vsi","linearna_regresija","rmse",0.1840454
"avgust","izbrani","linearna_regresija","mae",102.7068524  
"avgust","izbrani","linearna_regresija","mse",196.3546718     
"avgust","izbrani","linearna_regresija","rmae",0.5316184      
"avgust","izbrani","linearna_regresija","rmse",0.2826821
"avgust","vsi","regresijsko_drevo","mae",87.4513306   
"avgust","vsi","regresijsko_drevo","rmae",0.4526547
