"mesec","kolicina_podatkov","model","vrsta_napake","napaka"
"februar","vsi","linearna_regresija","mae",76.9764470 
"februar","vsi","linearna_regresija","mse",114.5264604     
"februar","vsi","linearna_regresija","rmae",0.5946312     
"februar","vsi","linearna_regresija","rmse",0.3610629
"februar","izbrani","linearna_regresija","mae",103.9859412 
"februar","izbrani","linearna_regresija","mse",152.2395511     
"februar","izbrani","linearna_regresija","rmae",0.8032753     
"februar","izbrani","linearna_regresija","rmse",0.6380080
"februar","vsi","regresijsko_drevo","mae",42.3072635    
"februar","vsi","regresijsko_drevo","rmae",0.3268171
"februar","izbrani","regresijsko_drevo","mae",47.4950026   
"februar","izbrani","regresijsko_drevo","rmae",0.3668916
"februar","vsi","nakljucni_gozd","mae",13.124790  
"februar","vsi","nakljucni_gozd","rmae",0.101387
"februar","izbrani","nakljucni_gozd","mae",23.1385149  
"februar","izbrani","nakljucni_gozd","rmae",0.1787415
"marec","vsi","linearna_regresija","mae",76.3782354 
"marec","vsi","linearna_regresija","mse",112.5046026    
"marec","vsi","linearna_regresija","rmae",0.5880943     
"marec","vsi","linearna_regresija","rmse",0.3543829
"marec","izbrani","linearna_regresija","mae",106.6292046 
"marec","izbrani","linearna_regresija","mse",152.1127166      
"marec","izbrani","linearna_regresija","rmae",0.8210196     
"marec","izbrani","linearna_regresija","rmse",0.6478332
"marec","vsi","regresijsko_drevo","mae",42.1459074  
"marec","vsi","regresijsko_drevo","rmae",0.3245135
"marec","izbrani","regresijsko_drevo","mae",47.839914   
"marec","izbrani","regresijsko_drevo","rmae",0.368356
"marec","vsi","nakljucni_gozd","mae",12.09962634    
"marec","vsi","nakljucni_gozd","rmae",0.09316425
"marec","izbrani","nakljucni_gozd","mae",20.480757   
"marec","izbrani","nakljucni_gozd","rmae",0.157697
"april","vsi","linearna_regresija","mae",75.4788691  
"april","vsi","linearna_regresija","mse",112.5067101     
"april","vsi","linearna_regresija","rmae",0.5802583     
"april","vsi","linearna_regresija","rmse",0.3458002
"april","izbrani","linearna_regresija","mae",102.9393555 
"april","izbrani","linearna_regresija","mse",151.2529985      
"april","izbrani","linearna_regresija","rmae",0.7913660      
"april","izbrani","linearna_regresija","rmse",0.6249948
"april","vsi","regresijsko_drevo","mae",43.6907341    
"april","vsi","regresijsko_drevo","rmae",0.3358809
"april","izbrani","regresijsko_drevo","mae",47.632634   
"april","izbrani","regresijsko_drevo","rmae",0.366185
"april","vsi","nakljucni_gozd","mae",10.2002145   
"april","vsi","nakljucni_gozd","rmae",0.0784161
"april","izbrani","nakljucni_gozd","mae",22.0907595    
"april","izbrani","nakljucni_gozd","rmae",0.1698269
"maj","vsi","linearna_regresija","mae",75.0407357  
"maj","vsi","linearna_regresija","mse",108.5764125    
"maj","vsi","linearna_regresija","rmae",0.5764169     
"maj","vsi","linearna_regresija","rmse",0.3471956
